Permit Type,Street Number,Unit,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Estimated Cost,Revised Cost,Existing Units,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Proposed Construction Type,Supervisor District,Zipcode,Record ID
1,1000,,,16.0,,1.0,1.0,,198.0,2,,,1.0,6.0,94158,1492897507993
8,1,,5.0,5.0,,9250.0,18000.0,,,2,,1.0,1.0,5.0,94102,1499070490129
8,606,,,,,20000.0,30000.0,0.0,0.0,2,,,,9.0,94110,1509327511357
1,1725,,4.0,4.0,,35000.0,35000.0,12.0,12.0,2,,5.0,5.0,5.0,94115,1494493239612
1,2300,,3.0,3.0,,12000.0,12000.0,,,2,,5.0,5.0,2.0,94115,150161777175
2,32,,,1.0,,40000.0,,,3.0,2,,,5.0,11.0,94132,1651294220717
4,615,,1.0,1.0,,7000.0,7000.0,,,2,,5.0,5.0,10.0,94124,1492241180779
3,33,,21.0,21.0,,15000.0,15000.0,,,2,,1.0,1.0,6.0,94105,1507432164504
2,3653,,4.0,4.0,,15000.0,45000.0,3.0,3.0,2,,5.0,5.0,2.0,94123,1513555494683
7,1036,,,9.0,,215000.0,215000.0,,83.0,2,,,1.0,6.0,94103,1490387507141
1,2400,0.0,4.0,4.0,,1.0,1.0,28.0,28.0,2,,5.0,5.0,3.0,94109,1491433399463
7,633,,6.0,6.0,,17000.0,17000.0,,,2,,1.0,1.0,3.0,94111,1491502348558
1,465,0.0,4.0,4.0,,1500.0,1500.0,18.0,18.0,2,,5.0,5.0,6.0,94103,1490671401580
6,50,,42.0,42.0,,1531662.0,1531662.0,,,2,,1.0,1.0,6.0,94105,1491984164581
4,140,,26.0,26.0,,1500.0,2000.0,,,2,,1.0,1.0,6.0,94105,1491503466407
8,4343,,4.0,4.0,,1.0,2000.0,16.0,16.0,2,,5.0,5.0,10.0,94124,1490905493959
1,315,0.0,17.0,17.0,,3500.0,3500.0,,,2,,1.0,1.0,3.0,94104,1490355298474
2,2349,,3.0,3.0,,6000.0,6000.0,6.0,6.0,2,,5.0,5.0,4.0,94116,1489372245239
8,343,0.0,15.0,15.0,,172000.0,172000.0,,,2,,1.0,1.0,3.0,94104,1491919392321
4,388,,26.0,26.0,,10000.0,10000.0,63.0,63.0,2,,1.0,1.0,3.0,94111,149174066083
2,298,,2.0,2.0,,5000.0,5000.0,0.0,0.0,2,,1.0,1.0,9.0,94103,1489297168067
8,845,,3.0,3.0,,19000.0,19000.0,1.0,1.0,0,,5.0,5.0,2.0,94123,148970683795
1,1625,,2.0,2.0,,800.0,800.0,1.0,1.0,2,,5.0,5.0,5.0,94117,1491280505130
7,1408,,4.0,4.0,,20000.0,20000.0,120.0,120.0,2,,3.0,3.0,6.0,94102,1489371281133
1,260,,2.0,2.0,,13000.0,13000.0,1.0,1.0,0,,5.0,5.0,2.0,94123,149119771006
3,472,,2.0,2.0,,15888.0,15888.0,1.0,1.0,0,,5.0,5.0,6.0,94107,1491313166563
8,50,,0.0,0.0,,11000.0,11000.0,0.0,0.0,2,,5.0,5.0,9.0,94103,758716246579
2,301,,23.0,23.0,,835302.0,835302.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1489154165667
6,388,,26.0,26.0,,1500.0,1500.0,63.0,63.0,2,,1.0,1.0,3.0,94111,149188466083
8,350,,20.0,20.0,,9000.0,67000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1489553495350
3,250,,3.0,3.0,,156162.0,156162.0,,,2,,3.0,3.0,6.0,94107,1491311348066
8,77,,35.0,35.0,,50000.0,50000.0,,,2,,1.0,1.0,6.0,94105,1490785470230
5,48,,3.0,3.0,,6500.0,6500.0,,,2,,3.0,3.0,3.0,94133,149193161577
4,388,,26.0,26.0,,40000.0,40000.0,63.0,63.0,2,,1.0,1.0,3.0,94111,149159966083
7,143,,2.0,2.0,,16500.0,16500.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1490754165026
5,168,,2.0,2.0,,5000.0,75000.0,0.0,0.0,2,,3.0,3.0,6.0,94107,1491286466475
3,2257,,,,,800.0,800.0,,,2,,,,3.0,94133,1488479257437
3,1916,,3.0,3.0,,40000.0,55000.0,6.0,6.0,2,,5.0,5.0,9.0,94103,1481066157976
7,181,,55.0,55.0,,435000.0,500000.0,74.0,74.0,2,,1.0,1.0,6.0,94105,1482745358581
4,424,,2.0,2.0,,20000.0,20000.0,0.0,0.0,2,,3.0,3.0,9.0,94110,1481967391393
3,650,0.0,33.0,33.0,,990000.0,990000.0,,,2,,1.0,1.0,3.0,94108,1480873296980
2,845,,8.0,8.0,,2500.0,2500.0,,,2,,1.0,1.0,6.0,94103,1488177448480
8,3100,,1.0,,,1000.0,1000.0,0.0,,2,,5.0,,2.0,94118,148394688757
5,250,,4.0,4.0,,1.0,1.0,250.0,250.0,2,,1.0,1.0,3.0,94133,1488694230553
2,3400,,3.0,3.0,,4500.0,5500.0,170.0,169.0,2,,3.0,3.0,2.0,94123,148116371215
8,60,,3.0,3.0,,115000.0,115000.0,1.0,1.0,2,,5.0,5.0,1.0,94121,148454095812
5,301,,6.0,6.0,,60000.0,60000.0,,,2,,2.0,2.0,6.0,94107,1481556167833
2,44,0.0,42.0,42.0,,4250.0,5000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1479477299398
5,415,,61.0,61.0,,2300000.0,2500000.0,,,2,,1.0,1.0,6.0,94105,1487801495332
1,1201,,3.0,3.0,,500000.0,500000.0,,,2,,1.0,1.0,6.0,94103,1480429373860
8,1629,,4.0,4.0,,30000.0,60000.0,2.0,2.0,2,,5.0,5.0,2.0,94123,1481825388318
4,31,,3.0,3.0,,20000.0,25000.0,12.0,12.0,0,,5.0,5.0,6.0,94103,1485666165410
1,1,,38.0,38.0,,1.0,10000.0,,,2,,1.0,1.0,3.0,94111,1487649390418
6,340,,9.0,9.0,,500.0,500.0,70.0,70.0,2,,2.0,2.0,9.0,94103,1482275508091
2,1960,,1.0,1.0,,1.0,1.0,0.0,0.0,2,,5.0,5.0,9.0,94103,1487895158016
5,44,,43.0,43.0,,1133071.0,1133071.0,,,2,,1.0,1.0,3.0,94104,148238167101
5,1515,0.0,,7.0,,17000.0,17000.0,,0.0,2,,,1.0,6.0,94158,1489500469353
3,150,,18.0,18.0,,1200.0,1200.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1485889164642
2,1,,38.0,38.0,,21675.0,44715.0,,,2,,1.0,1.0,3.0,94111,1481886390418
2,1745,,3.0,3.0,,25000.0,66150.0,47.0,47.0,2,,5.0,5.0,6.0,94103,1483080156211
3,3621,,2.0,2.0,,12000.0,15000.0,1.0,1.0,2,,5.0,5.0,2.0,94123,148825984184
5,2559,,2.0,2.0,,1.0,1.0,1.0,1.0,0,,5.0,5.0,2.0,94123,148319385227
8,1150,,,5.0,,8000.0,13420.0,,119.0,2,,,1.0,6.0,94158,1488103508066
8,201,,30.0,30.0,,80000.0,80000.0,,,2,,1.0,1.0,6.0,94105,1482201164647
6,2301,,2.0,2.0,,1.0,1.0,4.0,4.0,2,,5.0,5.0,2.0,94115,148667276306
7,64,,3.0,3.0,,12000.0,12000.0,2.0,2.0,0,,5.0,5.0,2.0,94123,1484392462201
3,4,,40.0,40.0,,1830.0,1830.0,0.0,0.0,2,,1.0,1.0,3.0,94111,147947563351
5,999,,4.0,4.0,,39000.0,39000.0,0.0,0.0,2,,2.0,2.0,6.0,94103,1488796167593
1,1,,32.0,32.0,,100000.0,100000.0,,,2,,1.0,1.0,3.0,94111,148902466082
2,1161,,5.0,5.0,,87000.0,87000.0,,,2,,3.0,3.0,6.0,94103,1487738165055
2,4,,40.0,40.0,,41340.0,55000.0,,,2,,1.0,1.0,3.0,94111,148060163352
2,501,,8.0,8.0,,5000.0,5000.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1484270362134
1,1489,,14.0,14.0,,30000.0,30000.0,156.0,156.0,2,,1.0,1.0,5.0,94115,148594279983
2,510,,7.0,7.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1485603369644
3,1080,5.0,18.0,18.0,,20000.0,20000.0,58.0,58.0,0,,1.0,1.0,2.0,94109,1488144433953
7,44,,42.0,42.0,,40000.0,110000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,148218867101
4,704,,1.0,1.0,,110000.0,110000.0,0.0,0.0,2,,5.0,5.0,6.0,94107,1484099166509
1,500,,6.0,6.0,,10000.0,10000.0,0.0,0.0,2,,1.0,1.0,6.0,94158,1486894509950
1,1607,,3.0,3.0,,2000.0,2000.0,12.0,12.0,2,,5.0,5.0,6.0,94103,1488998268816
7,680,,14.0,14.0,,6853.0,6853.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1486501458558
7,724,,1.0,1.0,,1.0,5000.0,0.0,0.0,2,,5.0,5.0,6.0,94103,1481626364153
8,1489,,14.0,14.0,,35000.0,45000.0,156.0,156.0,2,,1.0,1.0,5.0,94115,148594879983
1,415,,6.0,6.0,,3100000.0,3100000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1483699495332
7,44,,43.0,43.0,,2793.0,1793.0,0.0,0.0,2,,1.0,1.0,3.0,94104,148458967101
3,845,,9.0,9.0,,6250.0,6250.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1487504448478
1,2828,,2.0,2.0,,50000.0,92000.0,14.0,14.0,2,,5.0,5.0,2.0,94123,1479830235155
6,1150,101.0,7.0,7.0,,175000.0,175000.0,25.0,25.0,2,,1.0,1.0,3.0,94108,148216662983
5,2646,,3.0,3.0,,150000.0,150000.0,0.0,0.0,2,,5.0,5.0,9.0,94134,1485608193196
1,405,,6.0,6.0,,4000.0,4000.0,69.0,69.0,0,,5.0,5.0,9.0,94103,1488887268603
5,945,,4.0,4.0,,20000.0,30000.0,20.0,20.0,0,,5.0,5.0,3.0,94109,148599979848
5,201,,30.0,30.0,,1250.0,1250.0,,,2,,1.0,1.0,6.0,94105,1488671164647
2,2308,,3.0,3.0,,1700.0,1700.0,3.0,3.0,0,,5.0,5.0,9.0,94134,1485415189388
5,201,,18.0,18.0,,69904.0,69904.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1482286165689
3,2011,0.0,,,,40000.0,65000.0,0.0,0.0,2,,,,10.0,94134,1134139425877
2,600,0.0,48.0,48.0,,3000.0,3000.0,,,2,,1.0,1.0,3.0,94111,1481351296199
7,685,,3.0,3.0,,1.0,1.0,1.0,1.0,2,,5.0,5.0,2.0,94123,148402483855
1,493,,3.0,3.0,,1.0,1.0,6.0,6.0,2,,5.0,5.0,8.0,94114,1482326389008
5,301,,23.0,23.0,,28750.0,30000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1479483165667
5,185,,6.0,6.0,,1.0,1000.0,,,2,,1.0,1.0,6.0,94158,1487865348598
1,977,,3.0,3.0,,3000.0,3000.0,24.0,24.0,0,,5.0,5.0,6.0,94107,1471503249352
5,100,,13.0,13.0,,1200.0,2000.0,,,2,,1.0,1.0,3.0,94111,147285863367
2,345,,48.0,48.0,,30000.0,30000.0,158.0,158.0,2,,1.0,1.0,3.0,94104,147214066075
1,1345,,1.0,1.0,,35000.0,35000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1474493156607
8,1551,,4.0,4.0,,56000.0,0.0,7.0,7.0,2,,5.0,5.0,3.0,94109,147754861899
6,425,0.0,4.0,4.0,,1.0,1.0,221.0,221.0,2,,2.0,2.0,3.0,94133,1473291292248
7,350,,20.0,20.0,,200000.0,690000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1474768495350
8,691,,2.0,2.0,,10000.0,10000.0,1.0,1.0,2,,5.0,5.0,10.0,94107,1478301168428
3,88,,22.0,22.0,,19227.0,15000.0,0.0,0.0,2,,1.0,1.0,3.0,94108,1475395495355
5,1415,,2.0,2.0,,60000.0,20000.0,10.0,0.0,2,,5.0,5.0,6.0,94103,1474236156582
7,101,,48.0,48.0,,1.0,17000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,147643666081
7,345,,48.0,48.0,,8455.0,8500.0,158.0,158.0,2,,1.0,1.0,3.0,94104,147285766074
2,565,0.0,2.0,2.0,,1.0,1.0,7.0,7.0,0,,5.0,5.0,9.0,94110,1474494418707
5,600,,6.0,6.0,,8500.0,8560.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1470862165832
6,121,,25.0,25.0,,1000.0,1000.0,320.0,320.0,2,,1.0,1.0,6.0,94105,1472244436366
7,152,0.0,3.0,3.0,,1100.0,1100.0,6.0,6.0,0,,5.0,5.0,6.0,94103,1474899423181
5,505,,6.0,6.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1477110505591
6,1246,0.0,4.0,4.0,,15000.0,15000.0,7.0,7.0,2,,5.0,5.0,3.0,94108,1474608297144
7,999,,4.0,4.0,,7000.0,7000.0,0.0,0.0,2,,2.0,2.0,6.0,94103,1473899167593
4,567,,2.0,2.0,,1.0,1.0,7.0,7.0,0,,5.0,5.0,9.0,94110,1474495468357
4,770,,7.0,7.0,,6800.0,6800.0,54.0,54.0,2,,3.0,3.0,3.0,94108,147296963428
6,340,,5.0,5.0,,1000.0,1000.0,,,2,,3.0,3.0,6.0,94107,1474906167258
4,3060,,3.0,3.0,,950000.0,950000.0,1.0,1.0,2,,5.0,5.0,2.0,94115,147590785497
1,1321,0.0,3.0,3.0,,60000.0,68000.0,6.0,6.0,2,,5.0,5.0,5.0,94117,1473965404513
5,1,,43.0,43.0,,13522.0,13522.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1471709164605
8,1,,41.0,41.0,,8000.0,8000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,147328567086
7,1360,,4.0,4.0,,50000.0,76000.0,11.0,11.0,2,,5.0,5.0,3.0,94109,147731173920
2,804,,3.0,3.0,,90000.0,108000.0,9.0,9.0,2,,5.0,5.0,3.0,94133,1475191266294
8,2800,,1.0,1.0,,6500.0,6500.0,0.0,0.0,2,,3.0,3.0,3.0,94133,147884056169
5,275,0.0,4.0,4.0,,5200.0,8740.0,0.0,0.0,2,,3.0,3.0,6.0,94107,1470855402232
4,181,,0.0,54.0,,1.0,1.0,0.0,74.0,2,,,1.0,6.0,94105,1478556358581
6,664,,2.0,2.0,,2500.0,2500.0,12.0,12.0,0,,5.0,5.0,5.0,94109,147270869885
1,21,,0.0,3.0,,25000.0,25000.0,0.0,1.0,2,,,5.0,7.0,94114,1471299142476
5,101,,0.0,0.0,,15000.0,15000.0,0.0,0.0,2,,,,6.0,94130,1469419509032
6,276,,3.0,3.0,,30000.0,30000.0,23.0,23.0,2,,4.0,4.0,5.0,94102,1463430234101
8,1200,25.0,23.0,23.0,,15000.0,15000.0,92.0,92.0,0,,1.0,1.0,3.0,94109,1469553433109
8,19,,0.0,3.0,,15000.0,15000.0,0.0,1.0,2,,,5.0,1.0,94118,1465246508913
6,111,0.0,18.0,18.0,,48000.0,48000.0,,,2,,1.0,1.0,3.0,94111,1456698298620
6,555,0.0,52.0,52.0,,92360.0,92000.0,,,2,,1.0,1.0,3.0,94104,1457386298587
7,1100,,7.0,7.0,,2000.0,3500.0,135.0,135.0,2,,1.0,1.0,5.0,94102,146539670098
7,632,,3.0,3.0,,200.0,200.0,1.0,1.0,2,,5.0,5.0,1.0,94121,145590195842
5,1800,,4.0,4.0,,1830.0,1830.0,0.0,0.0,2,,5.0,5.0,8.0,94102,147030683709
8,1006,,2.0,2.0,,4200.0,24000.0,1.0,1.0,2,,3.0,3.0,3.0,94109,145395066796
2,555,0.0,52.0,52.0,,250000.0,250000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1453646298587
8,600,,5.0,5.0,,6000.0,3000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1466292167600
7,1,,32.0,32.0,,25200.0,21000.0,,,2,,1.0,1.0,3.0,94111,145396466082
5,2419,,4.0,4.0,,2000.0,2000.0,,,2,,2.0,2.0,10.0,94107,1464883474573
6,550,,2.0,,,3750.0,3750.0,13.0,,2,,1.0,,3.0,94111,1473331452534
6,315,0.0,16.0,,,1000.0,2000.0,,,2,,1.0,,3.0,94104,1457533298474
5,44,,43.0,43.0,,4200.0,4200.0,,,2,,1.0,1.0,3.0,94104,145721267101
1,420,,8.0,8.0,,30000.0,0.0,0.0,0.0,2,,1.0,1.0,3.0,94102,1468549369828
5,650,0.0,33.0,33.0,,21500.0,21500.0,,,2,,1.0,1.0,3.0,94108,1464692296980
8,1303,,2.0,2.0,,8000.0,18000.0,2.0,2.0,2,,5.0,5.0,10.0,94110,1467316172676
5,2020,,1.0,1.0,,4000.0,4000.0,0.0,0.0,2,,3.0,3.0,8.0,94114,1458015502601
1,1914,8.0,4.0,4.0,,95000.0,95000.0,8.0,8.0,2,,5.0,5.0,5.0,94109,149021477741
2,637,,6.0,6.0,,1.0,1.0,224.0,224.0,2,,1.0,1.0,6.0,94107,1456633504857
2,1,,27.0,27.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1457893164604
7,699,,6.0,6.0,,85000.0,85000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1462501249433
8,865,,8.0,,,4500.0,4500.0,,,2,,1.0,,6.0,94103,1461449164435
3,1755,,19.0,19.0,,130000.0,130000.0,190.0,190.0,2,,1.0,1.0,5.0,94115,1461639493656
5,414,,4.0,4.0,,10000.0,10000.0,0.0,0.0,2,,3.0,3.0,3.0,94133,1465920362807
4,490,1450.0,16.0,16.0,,10000.0,10000.0,,,2,,1.0,1.0,3.0,94102,1458703477898
2,101,,20.0,20.0,,250000.0,250000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1470192350376
7,1101,,,,,500.0,500.0,,,2,,,,2.0,94109,147052179893
6,300,,8.0,8.0,,385000.0,385000.0,,,2,,1.0,1.0,3.0,94104,1464352349275
3,2774,,4.0,4.0,,1000.0,1000.0,3.0,2.0,2,,5.0,5.0,2.0,94123,1455487238357
6,85,,8.0,8.0,,56160.0,56160.0,,,2,,1.0,1.0,6.0,94105,1466996359554
1,980,,5.0,5.0,,5000.0,12936.0,37.0,37.0,2,,3.0,3.0,3.0,94109,1457957233444
6,64,,3.0,3.0,,129600.0,129600.0,3.0,4.0,2,,5.0,5.0,6.0,94103,1464499261525
6,990,0.0,5.0,5.0,,23000.0,35000.0,60.0,60.0,2,,3.0,3.0,3.0,94109,1470413414121
6,1035,,4.0,4.0,,60000.0,60000.0,50.0,50.0,2,,5.0,5.0,6.0,94103,1464033166294
2,1110,,3.0,3.0,,12000.0,12000.0,1.0,2.0,2,,5.0,5.0,9.0,94110,1455840172011
4,1472,,6.0,6.0,,4000.0,4000.0,73.0,73.0,2,,3.0,3.0,3.0,94109,145402372945
1,760,,11.0,11.0,,9500.0,9500.0,0.0,0.0,2,,1.0,1.0,3.0,94108,145513669778
5,555,0.0,52.0,52.0,,1000.0,1200.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1466991298587
2,4,,45.0,45.0,,1500.0,1000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,146828563351
4,425,0.0,4.0,4.0,,1.0,1.0,199.0,199.0,2,,2.0,2.0,3.0,94133,1469813292248
3,121,,25.0,25.0,,100000.0,100000.0,320.0,320.0,2,,1.0,1.0,6.0,94105,1456334436366
5,3624,,2.0,2.0,,300.0,300.0,2.0,2.0,2,,5.0,5.0,2.0,94123,146871470585
4,50,,43.0,43.0,,600000.0,600000.0,,,2,,1.0,1.0,6.0,94105,1466133164581
1,1,,,6.0,,1.0,1.0,,85.0,2,,,1.0,6.0,94103,1457448374377
4,1916,8.0,4.0,4.0,,95000.0,95000.0,8.0,8.0,2,,5.0,5.0,5.0,94109,149021677743
2,394,,5.0,5.0,,9700.0,9700.0,,,2,,3.0,3.0,3.0,94111,145806061372
1,101,,48.0,48.0,,2615000.0,2615000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,146644966081
1,555,0.0,34.0,34.0,,500.0,1050.0,,,2,,1.0,1.0,6.0,94105,1456661394511
6,990,,6.0,6.0,,40000.0,97000.0,35.0,35.0,2,,3.0,3.0,5.0,94117,146104781668
7,1,,42.0,42.0,,1250.0,2000.0,,,2,,1.0,1.0,3.0,94104,146295767086
7,201,,17.0,17.0,,525000.0,525000.0,,,2,,1.0,1.0,3.0,94111,145434566080
1,4950,,1.0,1.0,,4000.0,4000.0,0.0,0.0,2,,3.0,3.0,11.0,94112,1458018215367
5,1,1.0,14.0,14.0,,2500.0,2500.0,239.0,239.0,2,,1.0,1.0,2.0,94109,145831279578
5,235,,25.0,25.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,3.0,94104,146737566161
8,951,,1.0,1.0,,25000.0,25000.0,,,2,,3.0,3.0,6.0,94103,1464260165479
7,300,0.0,26.0,26.0,,528190.0,528190.0,,,2,,1.0,1.0,3.0,94111,1464716296183
2,645,,4.0,4.0,,5500.0,5500.0,,,2,,1.0,1.0,6.0,94107,1455664166653
3,55,0.0,26.0,26.0,,59000.0,59000.0,,,2,,1.0,1.0,6.0,94105,1457437394477
4,100,,25.0,25.0,,20500.0,20500.0,,,2,,1.0,1.0,3.0,94104,1454561372147
2,455,0.0,5.0,5.0,,6273.0,6273.0,,,2,,2.0,2.0,6.0,94158,1454507471576
1,1055,,,,,1200.0,1200.0,,,2,,3.0,,3.0,94109,146907979867
2,969,0.0,3.0,3.0,,20000.0,26000.0,14.0,14.0,2,,5.0,5.0,3.0,94109,1465288298754
7,680,,36.0,36.0,,75000.0,75000.0,486.0,486.0,0,,1.0,1.0,6.0,94105,1460641501051
1,3025,,2.0,2.0,,69000.0,69000.0,1.0,1.0,2,,5.0,5.0,2.0,94123,146996084921
3,180,,24.0,24.0,,4000.0,4000.0,,,2,,1.0,1.0,3.0,94104,145665167090
8,555,0.0,34.0,34.0,,12010.0,12010.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1460423394511
8,220,,22.0,22.0,,100000.0,0.0,,,2,,2.0,2.0,3.0,94104,146535166168
3,451,510.0,5.0,5.0,,20000.0,20000.0,63.0,63.0,0,,5.0,5.0,10.0,94124,1462272503338
8,730,,1.0,1.0,,4000.0,4000.0,0.0,0.0,2,,2.0,2.0,7.0,94116,1458019373776
8,3330,,2.0,2.0,,4750.0,4750.0,2.0,2.0,0,,5.0,5.0,9.0,94110,1461192163325
2,1179,,3.0,3.0,,27000.0,27000.0,,,2,,3.0,3.0,6.0,94103,1465065508252
5,44,,44.0,44.0,,6600.0,6600.0,,,2,,1.0,1.0,3.0,94104,145721067101
1,333,,46.0,46.0,,4380.0,4380.0,1907.0,1907.0,2,,1.0,1.0,5.0,94102,1459435374275
2,3624,,2.0,2.0,,115.0,1.0,2.0,2.0,2,,5.0,5.0,2.0,94123,145862870585
6,1035,,4.0,4.0,,5000.0,22500.0,50.0,50.0,2,,5.0,5.0,6.0,94103,1457325166294
4,2528,,0.0,3.0,,1800.0,3600.0,0.0,1.0,2,,,5.0,2.0,94123,145853784962
7,550,,11.0,11.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94111,1450204364842
5,170,,3.0,3.0,,1.0,1.0,0.0,0.0,2,,2.0,2.0,6.0,94103,1452652506182
8,801,,0.0,6.0,,180000.0,180000.0,0.0,434.0,2,,,1.0,6.0,94103,1450345167598
1,1,,40.0,40.0,,1.0,20000.0,,,2,,1.0,1.0,3.0,94126,145287963347
1,333,,5.0,5.0,,1.0,1.0,,,2,,1.0,1.0,6.0,94107,1452318488747
5,290,,3.0,3.0,,75000.0,75000.0,8.0,8.0,2,,5.0,5.0,11.0,94112,1449616252667
8,2239,0.0,4.0,4.0,,30000.0,80000.0,2.0,2.0,2,,5.0,5.0,2.0,94115,1451734304971
5,3108,,2.0,2.0,,8000.0,16000.0,0.0,0.0,2,,5.0,5.0,2.0,94123,1451296423905
7,1150,0.0,2.0,2.0,,11037.0,11036.0,0.0,0.0,2,,1.0,1.0,10.0,94107,1449847291469
8,731,0.0,5.0,5.0,,14500.0,14500.0,0.0,0.0,2,,3.0,3.0,3.0,94111,1450609295843
4,1179,,4.0,4.0,,45000.0,45000.0,7.0,7.0,2,,5.0,5.0,5.0,94117,1450926237390
4,100,,7.0,7.0,,610.0,610.0,0.0,0.0,2,,1.0,1.0,5.0,94102,145034470113
1,2501,,1.0,,,1200.0,1200.0,,,2,,5.0,,2.0,94115,145133377929
6,999,,4.0,4.0,,300000.0,750000.0,0.0,0.0,2,,2.0,2.0,6.0,94103,1453524167593
7,575,,40.0,40.0,,14890.0,14890.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1452786507760
6,650,0.0,33.0,33.0,,1.0,1.0,,,2,,2.0,2.0,3.0,94108,1453444296980
3,50,,42.0,42.0,,20000.0,180000.0,,,2,,1.0,1.0,6.0,94105,1450193164581
6,2,,30.0,30.0,,500.0,500.0,0.0,0.0,2,,1.0,1.0,3.0,94111,145079263348
6,1455,,23.0,23.0,,14000.0,75000.0,,,2,,1.0,1.0,6.0,94103,1451319394002
2,1901,,1.0,1.0,,150000.0,150000.0,0.0,0.0,2,,5.0,5.0,5.0,94115,145142978040
7,760,,11.0,11.0,,10000.0,10000.0,,,2,,1.0,1.0,3.0,94108,145203769778
3,116,,9.0,9.0,,55000.0,55000.0,,,2,,1.0,1.0,6.0,94105,1449628362781
8,436,,3.0,3.0,,1.0,1.0,,,2,,1.0,1.0,6.0,94107,1447926166612
3,3,,31.0,31.0,,18660.0,18660.0,,,2,,1.0,1.0,3.0,94111,144847063349
8,555,0.0,52.0,52.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94104,1445317298587
6,701,,0.0,11.0,,7500.0,7500.0,0.0,230.0,2,,,1.0,6.0,94107,1447261167868
1,2800,,3.0,3.0,,12000.0,12000.0,,,2,,3.0,3.0,3.0,94133,144490156169
7,220,,22.0,22.0,,22599.0,22599.0,0.0,0.0,2,,1.0,1.0,3.0,94104,144258966168
2,3030,,1.0,2.0,,15000.0,15000.0,0.0,0.0,2,,5.0,5.0,9.0,94110,1443130159249
5,555,0.0,52.0,52.0,,14780.0,14780.0,,,2,,1.0,1.0,3.0,94104,1442262298587
1,33,,20.0,20.0,,500000.0,500000.0,,,2,,1.0,1.0,6.0,94105,1445917164504
8,3,,31.0,31.0,,6520.0,6520.0,0.0,0.0,2,,1.0,1.0,3.0,94111,144107063349
3,555,,0.0,5.0,,5000.0,5000.0,0.0,139.0,2,,,1.0,5.0,94102,144164981787
6,495,,17.0,17.0,,8000.0,8000.0,405.0,405.0,2,,1.0,1.0,3.0,94102,1444402276973
4,3,,30.0,30.0,,30450.0,34161.0,,,2,,1.0,1.0,3.0,94111,144128663349
4,333,,46.0,46.0,,37900.0,38000.0,1907.0,1907.0,2,,1.0,1.0,5.0,94102,1447958374275
1,1489,,12.0,12.0,,10000.0,0.0,156.0,156.0,2,,1.0,1.0,5.0,94115,144331479983
5,1550,,12.0,12.0,,35000.0,35000.0,,,2,,1.0,1.0,9.0,94103,1448762168058
2,575,,40.0,40.0,,1040.0,1040.0,,,2,,1.0,1.0,6.0,94105,1446580507760
7,2065,0.0,3.0,3.0,,50000.0,130000.0,18.0,18.0,2,,5.0,5.0,5.0,94117,1443150410641
3,101,,48.0,48.0,,100000.0,178000.0,,,2,,1.0,1.0,3.0,94111,144259566081
1,222,0.0,25.0,25.0,,138000.0,138000.0,529.0,529.0,2,,1.0,1.0,5.0,94102,1448788301556
1,1744,,3.0,3.0,,1.0,1.0,2.0,2.0,2,,5.0,5.0,2.0,94123,144137670334
3,795,,6.0,,,5000.0,5000.0,,,2,,1.0,,6.0,94107,1441913349317
5,501,,8.0,8.0,,350000.0,350000.0,,,2,,1.0,1.0,6.0,94107,1442618167201
3,50,,24.0,24.0,,3000.0,3000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1442270164587
