Permit Type,Street Number,Unit,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Estimated Cost,Revised Cost,Existing Units,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Proposed Construction Type,Supervisor District,Zipcode,Record ID
7,250,,16.0,16.0,,750000.0,750000.0,,,2,,1.0,1.0,3.0,94104,149410766174
2,2001,,3.0,3.0,,500.0,634.0,,,2,,1.0,1.0,4.0,94116,1504146491959
4,301,,23.0,23.0,,11000.0,11000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1498105165667
5,650,,4.0,4.0,,9500.0,9800.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1497095167599
7,49,,4.0,,,1200.0,1200.0,250.0,,2,,1.0,,3.0,94133,1512256347122
1,2051,,3.0,3.0,,1.0,1.0,92.0,92.0,2,,5.0,5.0,10.0,94107,1498233503727
7,1755,,19.0,19.0,,18000.0,18000.0,190.0,190.0,0,,1.0,1.0,5.0,94115,1499553502633
2,2640,,1.0,,,2000.0,2000.0,,,2,,4.0,,3.0,94133,1498904347097
8,26,,3.0,3.0,,50000.0,50000.0,4.0,4.0,2,,5.0,5.0,1.0,94118,149421499519
4,1100,,10.0,10.0,,6000.0,6000.0,,,2,,1.0,1.0,3.0,94109,149850179883
3,555,,1.0,1.0,,4800.0,4800.0,,,2,,3.0,3.0,10.0,94124,1499225508077
1,2130,,4.0,4.0,,180000.0,180000.0,,,2,,5.0,5.0,1.0,94117,1507187254564
2,760,,11.0,11.0,,100000.0,100000.0,,,2,,1.0,1.0,3.0,94108,149945669778
4,621,0.0,6.0,6.0,,1.0,1.0,23.0,23.0,2,,5.0,5.0,3.0,94108,1507465297762
2,935,,10.0,10.0,,10500.0,10500.0,114.0,114.0,0,,1.0,1.0,5.0,94109,149386080328
4,181,,55.0,55.0,,1500000.0,1500000.0,74.0,74.0,2,,1.0,1.0,6.0,94105,1501828510886
7,55,,5.0,5.0,,11262.0,11500.0,0.0,0.0,2,,2.0,2.0,7.0,94118,1509125488230
2,44,0.0,44.0,44.0,,18500.0,18500.0,,,2,,1.0,1.0,3.0,94104,1498543299398
6,400,,4.0,4.0,,1.0,1.0,25.0,25.0,2,,3.0,3.0,5.0,94102,1507356237585
3,1336,,7.0,7.0,,10000.0,10000.0,,,2,,1.0,1.0,2.0,94109,149631479572
6,500,0.0,11.0,11.0,,1.0,1.0,,,2,,1.0,1.0,6.0,94105,1493240480621
6,123,,29.0,29.0,,10000.0,10000.0,,,2,,1.0,1.0,6.0,94105,1499798164644
5,299,,5.0,5.0,,9000.0,9000.0,36.0,36.0,2,,5.0,5.0,9.0,94103,1500674498873
2,575,,40.0,40.0,,20000.0,20000.0,,,2,,1.0,1.0,6.0,94105,1511916507760
6,2233,,4.0,4.0,,38256.0,71709.0,1.0,1.0,2,,5.0,5.0,2.0,94115,149374885650
3,415,,63.0,63.0,,52300.0,55000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1512249495332
8,415,,63.0,63.0,,129675.0,129675.0,,,2,,1.0,1.0,6.0,94105,1503884495332
5,2341,,3.0,5.0,,3000.0,3000.0,21.0,21.0,2,,,,2.0,94123,1495452238257
8,1,,38.0,38.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94111,1492763390418
5,415,,63.0,63.0,,106250.0,106250.0,,,2,,1.0,1.0,6.0,94105,1492317495332
5,985,,3.0,3.0,,1000.0,1000.0,3.0,3.0,2,,5.0,5.0,9.0,94110,1495399278006
4,170,35.0,4.0,4.0,,48000.0,60000.0,53.0,53.0,2,,5.0,5.0,3.0,94111,1498406500084
7,2001,,3.0,3.0,,25000.0,25000.0,0.0,0.0,2,,5.0,5.0,4.0,94116,1508129491959
4,1355,,10.0,10.0,,60000.0,60000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1507911347127
7,181,,55.0,55.0,,1.0,1.0,67.0,67.0,2,,5.0,5.0,6.0,94105,1505960510886
6,185,,6.0,6.0,,1500.0,2112.0,,,2,,1.0,1.0,6.0,94158,1492220388160
6,381,,3.0,3.0,,140000.0,200000.0,26.0,26.0,2,,3.0,3.0,5.0,94102,149946082097
8,1900,,2.0,2.0,,1000.0,700.0,0.0,0.0,2,,3.0,3.0,3.0,94109,150424875947
6,2224,,,4.0,,8000.0,20000.0,,12.0,2,,,5.0,1.0,94121,1509223460745
7,718,,,16.0,,8000.0,8000.0,,263.0,2,,,1.0,6.0,94158,1327025489351
4,233,,12.0,12.0,,7740.0,7740.0,,,2,,1.0,1.0,3.0,94104,150583866057
4,235,,31.0,31.0,,20700.0,21000.0,,,2,,1.0,1.0,3.0,94104,149413766177
8,2411,0.0,4.0,4.0,,15000.0,25000.0,12.0,12.0,2,,5.0,5.0,2.0,94115,1505372304326
8,150,,4.0,4.0,,882000.0,882000.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1500798506101
5,4,,40.0,40.0,,1250.0,1250.0,,,2,,1.0,1.0,3.0,94111,149851063351
3,200,,3.0,3.0,,1.0,1.0,,,0,,1.0,1.0,10.0,94124,1493101182253
5,2350,,4.0,4.0,,12000.0,12000.0,,,2,,2.0,2.0,1.0,94118,150161189673
3,991,,1.0,1.0,,2000.0,4000.0,0.0,0.0,0,,5.0,5.0,6.0,94103,1498251165491
1,884,,4.0,4.0,,1.0,1.0,2.0,2.0,0,,5.0,5.0,2.0,94109,1509838347379
5,75,,1.0,1.0,,65000.0,65000.0,,,2,,3.0,3.0,9.0,94103,1511900157958
3,1656,,3.0,3.0,,300000.0,300000.0,36.0,36.0,2,,3.0,3.0,3.0,94133,1504002283588
4,601,301.0,4.0,4.0,,10000.0,10000.0,34.0,34.0,0,,5.0,5.0,9.0,94110,1494531494228
4,235,,25.0,25.0,,2000.0,2000.0,,,2,,1.0,1.0,3.0,94104,150112766161
2,100,,25.0,25.0,,5600.0,5500.0,,,2,,1.0,1.0,3.0,94104,1493616372147
6,400,,12.0,12.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94104,149609563393
8,1455,,23.0,23.0,,5000.0,5000.0,,,2,,1.0,1.0,6.0,94103,1503651394002
3,777,208.0,3.0,3.0,,200000.0,564707.0,,,2,,5.0,5.0,9.0,94110,1492181394518
4,445,,8.0,8.0,,2000.0,2000.0,,,2,,2.0,2.0,3.0,94108,1494642350491
2,181,,55.0,55.0,,1300000.0,1300000.0,74.0,74.0,2,,1.0,1.0,6.0,94105,1501841510885
8,241,,14.0,14.0,,700000.0,700000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,1494255385997
4,181,,55.0,55.0,,1.0,1.0,67.0,67.0,2,,5.0,5.0,6.0,94105,1505952510885
3,180,,25.0,25.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,3.0,94104,149487967090
6,720,0.0,4.0,4.0,,1000.0,1000.0,18.0,18.0,2,,5.0,5.0,3.0,94108,1494221298140
4,121,,25.0,25.0,,28000.0,62708.0,320.0,320.0,2,,1.0,1.0,6.0,94105,1501554436366
5,106,,3.0,3.0,,28000.0,44000.0,18.0,18.0,2,,5.0,5.0,8.0,94114,1504324157460
2,121,,24.0,24.0,,1147000.0,1147000.0,320.0,320.0,2,,1.0,1.0,6.0,94105,1500721436366
6,900,534.0,2.0,2.0,,21081.0,21100.0,54.0,54.0,2,,3.0,3.0,2.0,94109,1507724501832
1,1549,,1.0,1.0,,4000.0,5500.0,0.0,0.0,2,,5.0,5.0,3.0,94109,1496680361617
3,2675,,4.0,4.0,,1.0,50000.0,,,2,,1.0,1.0,2.0,94115,149808989456
